"Case Name"," Status"," UserId"," UserRole"," Time"," Notes"
"User Login"," Passed","xz985"," Admin"," 10/21 04:15:38"," "
"GIGPAD Help"," Passed","xz985"," Admin"," 10/21 04:15:42"," "
"GIGPAD Page Title"," Passed","xz985"," Admin"," 10/21 04:15:43"," "
"User Login"," Passed","xz985"," Admin"," 10/21 04:16:18"," "
"User Login"," Passed","xz985"," Admin"," 10/21 04:16:18"," "
"City Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:16:23"," City cannot be numeric values."
"State Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:16:26"," State cannot be numeric values."
"ZipCode Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:16:29"," ZipCode cannot be alphabeyocal values."
"Phone Number Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:16:31"," Phone Number cannot be alphabetic values."
"Duplicate User Creation"," Passed","xz985"," Admin"," 10/21 04:16:33"," "
"User Creation"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:16:35"," "
"User Login"," Passed","rsrch_daemon"," Domain"," 10/21 04:17:12"," "
"Account Setup"," Failed","xz985"," Admin"," 10/21 04:17:37"," User not found."
"Account Setup"," Passed","xz985"," Admin"," 10/21 04:17:39"," "
"User Login"," Passed","xz985"," Admin"," 10/21 04:18:14"," "
"Start Enrollment Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:18:36"," 2016/2 is not a valid format"
"Start Enrollment Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:18:37"," No date is not a valid format"
"Start Enrollment Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:18:39"," 8.2015 is not a valid format"
"Participants Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:18:40"," Alphabetic value for number of participants should not be accepted"
"Participants Verification"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:18:42"," Number of participants must be postive"
"Create New Study"," Passed","xz985"," Admin"," 10/21 04:18:47"," "
"User Login"," Passed","rsrch_daemon"," Domain"," 10/21 04:19:23"," "
"Approve Study"," Failed","rsrch_daemon"," Domain"," 10/21 04:19:44"," Actual study name and expected study name do not match"
"Approve Study"," Failed","rsrch_daemon"," Domain"," 10/21 04:20:04"," Study was already approved"
"User Login"," Passed","xz985"," Admin"," 10/21 04:20:40"," "
"Select Service"," Passed","4323ovwP"," INVESTIGATOR"," 10/21 04:22:42"," Service Type: 1"
"Date of Drawn"," Passed","xz985"," Admin"," 10/21 04:22:57"," "
"Date Shipped"," Passed","xz985"," Admin"," 10/21 04:22:58"," "
"Subject ID"," Passed","xz985"," Admin"," 10/21 04:23:00"," "
"Total Number of Tubes"," Passed","xz985"," Admin"," 10/21 04:23:01"," "
